customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_imputed,purchases_per_year,dataset_block,spend_x_frequency,high_value_flag,low_value_flag,high_repeat_flag,low_repeat_flag,promo_dependency_score,promo_flag,satisfaction_flag,high_satisfaction,low_satisfaction,age_band,loyalty_score_A,loyalty_score_B,loyalty_tier_A,loyalty_tier_B,premium_shipping,digital_payment,category_code,segment_code,segment_label
1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,1,Express,1,1,14,Venmo,Fortnightly,0,26,promo_block,1378.0,0,0,0,0,1.0,1,0,0,0,Senior (50-70),0.500140856342537,0.2467015306122449,High,Low,1,1,1,S2,Promo-Dependent Buyers
2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,1,Express,1,1,2,Cash,Fortnightly,0,26,promo_block,1664.0,0,0,0,1,1.0,1,0,0,0,Teen (18-24),0.426671468587435,0.2336020408163265,Medium,Low,1,0,1,S0,General Buyers
3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,Weekly,0,52,promo_block,3796.0,0,0,0,0,1.0,1,0,0,0,Senior (50-70),0.6826938775510205,0.3801198979591836,High,Low,0,1,1,S0,General Buyers
4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,1,1,49,Paypal,Weekly,0,52,promo_block,4680.0,1,0,1,0,1.0,1,0,0,0,Teen (18-24),0.8738775510204082,0.6111479591836735,High,High,1,1,2,S4,Promo-Habituated Spenders
5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,1,1,31,Paypal,Annually,0,1,promo_block,49.0,0,0,0,0,1.0,1,0,0,1,Mid-Age (35-49),0.4496734693877551,0.2919362244897959,Medium,Low,0,1,1,S0,General Buyers
6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,1,Standard,1,1,14,Venmo,Weekly,0,52,promo_block,1040.0,0,1,0,0,1.0,1,0,0,1,Mid-Age (35-49),0.611591836734694,0.0903265306122449,High,Low,0,1,2,S2,Promo-Dependent Buyers
7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,1,Free Shipping,1,1,49,Cash,Quarterly,0,4,promo_block,340.0,1,0,1,0,1.0,1,0,0,0,Senior (50-70),0.6145834333733493,0.5712729591836735,High,Medium,0,0,1,S4,Promo-Habituated Spenders
8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,Weekly,0,52,promo_block,1768.0,0,1,0,0,1.0,1,0,0,0,Young Adult (25-34),0.6662040816326531,0.1950867346938775,High,Low,0,1,1,S2,Promo-Dependent Buyers
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,1,Express,1,1,8,Venmo,Annually,0,1,promo_block,97.0,1,0,0,1,1.0,1,0,0,1,Young Adult (25-34),0.3008571428571429,0.3785892857142857,Low,Low,1,1,3,S4,Promo-Habituated Spenders
10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,Quarterly,0,4,promo_block,124.0,0,1,0,1,1.0,1,1,1,0,Senior (50-70),0.4670732292917167,0.2014311224489796,High,Low,1,0,0,S2,Promo-Dependent Buyers
11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,Bi-Weekly,0,26,promo_block,884.0,0,1,0,0,1.0,1,1,0,0,Senior (50-70),0.653610244097639,0.2848010204081632,High,Low,0,0,2,S0,General Buyers
12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,Fortnightly,0,26,promo_block,1768.0,0,0,0,1,1.0,1,1,1,0,Young Adult (25-34),0.6196510604241697,0.3999183673469388,High,Low,0,0,1,S0,General Buyers
13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,1,Express,1,1,37,Venmo,Fortnightly,0,26,promo_block,1872.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.7529571828731493,0.5311734693877551,High,Medium,1,1,3,S0,General Buyers
14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,1,Express,1,1,31,Paypal,Weekly,0,52,promo_block,2652.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.8596734693877551,0.4206862244897959,High,Low,1,1,1,S0,General Buyers
15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,Weekly,0,52,promo_block,2756.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.8780408163265306,0.4447423469387754,High,Medium,0,1,3,S0,General Buyers
16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,1,1,8,Paypal,Monthly,0,12,promo_block,972.0,1,0,0,1,1.0,1,0,0,1,Senior (50-70),0.3707787114845938,0.3205892857142857,Medium,Low,0,1,1,S4,Promo-Habituated Spenders
17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,Bi-Weekly,0,26,promo_block,936.0,0,1,1,0,1.0,1,1,0,0,Young Adult (25-34),0.7638143257302922,0.3853877551020407,High,Low,1,1,0,S0,General Buyers
18,53,Male,Dress,Clothing,38.0,Mississippi,Xl,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,Quarterly,0,4,promo_block,152.0,0,1,0,0,1.0,1,1,1,0,Senior (50-70),0.6549915966386555,0.3893214285714286,High,Low,1,1,1,S0,General Buyers
19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,1,Free Shipping,1,1,17,Cash,Weekly,0,52,promo_block,2496.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.7659591836734694,0.3301326530612244,High,Low,0,0,1,S2,Promo-Dependent Buyers
20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,1,Standard,1,1,46,Debit Card,Bi-Weekly,0,26,promo_block,2340.0,1,0,1,0,1.0,1,0,0,0,Senior (50-70),0.7120592236894757,0.5838418367346939,High,Medium,0,1,1,S4,Promo-Habituated Spenders
21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,1,Express,1,1,50,Cash,Every 3 Months,0,4,promo_block,204.0,0,0,1,0,1.0,1,0,0,1,Teen (18-24),0.5887058823529412,0.403625,High,Low,1,0,1,S0,General Buyers
22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,Quarterly,0,4,promo_block,248.0,0,0,0,0,1.0,1,1,0,0,Young Adult (25-34),0.5212773109243697,0.3868928571428571,High,Low,0,1,1,S0,General Buyers
23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,Annually,0,1,promo_block,37.0,0,1,0,0,1.0,1,0,0,0,Senior (50-70),0.4957959183673469,0.2745382653061224,High,Low,0,1,1,S0,General Buyers
24,31,Male,Pants,Clothing,88.0,Oklahoma,Xl,White,Winter,4.4,1,Express,1,1,40,Credit Card,Weekly,0,52,promo_block,4576.0,1,0,1,0,1.0,1,1,0,0,Young Adult (25-34),0.8907755102040816,0.6104795918367347,High,High,1,1,1,S4,Promo-Habituated Spenders
25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,Weekly,0,52,promo_block,1144.0,0,1,0,0,1.0,1,0,0,1,Teen (18-24),0.6238367346938776,0.1092806122448979,High,Low,0,1,3,S2,Promo-Dependent Buyers
26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,1,Express,1,1,14,Paypal,Annually,0,1,promo_block,25.0,0,1,0,0,1.0,1,0,0,0,Teen (18-24),0.4175918367346939,0.1542015306122449,Medium,Low,1,1,1,S2,Promo-Dependent Buyers
27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,Annually,0,1,promo_block,20.0,0,1,0,1,1.0,1,0,0,0,Mid-Age (35-49),0.411469387755102,0.1272244897959183,Medium,Low,1,1,0,S2,Promo-Dependent Buyers
28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,1,Next Day Air,1,1,7,Bank Transfer,Every 3 Months,0,4,promo_block,224.0,0,0,0,1,1.0,1,1,1,0,Senior (50-70),0.5014405762304922,0.3381122448979592,High,Low,1,0,1,S2,Promo-Dependent Buyers
29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,1,1,41,Paypal,Every 3 Months,0,4,promo_block,376.0,1,0,1,0,1.0,1,1,0,0,Senior (50-70),0.6616038415366147,0.6418316326530612,High,High,0,1,0,S4,Promo-Habituated Spenders
