customer_id,age,age_band,gender,category,season,location,purchase_amount,previous_purchases,purchases_per_year,spend_x_frequency,review_rating,subscription_status,discount_applied,promo_code_used,promo_dependency_score,promo_flag,satisfaction_flag,high_satisfaction,loyalty_score_A,loyalty_score_B,loyalty_tier_A,loyalty_tier_B,high_value_flag,high_repeat_flag,segment_code,segment_label,shipping_type,payment_method,premium_shipping,digital_payment
1,55,Senior (50-70),Male,Clothing,Winter,Kentucky,53.0,14,26,1378.0,3.1,1,1,1,1.0,1,0,0,0.500140856342537,0.2467015306122449,High,Low,0,0,S2,Promo-Dependent Buyers,Express,Venmo,1,1
2,19,Teen (18-24),Male,Clothing,Winter,Maine,64.0,2,26,1664.0,3.1,1,1,1,1.0,1,0,0,0.426671468587435,0.2336020408163265,Medium,Low,0,0,S0,General Buyers,Express,Cash,1,0
3,50,Senior (50-70),Male,Clothing,Spring,Massachusetts,73.0,23,52,3796.0,3.1,1,1,1,1.0,1,0,0,0.6826938775510205,0.3801198979591836,High,Low,0,0,S0,General Buyers,Free Shipping,Credit Card,0,1
4,21,Teen (18-24),Male,Footwear,Spring,Rhode Island,90.0,49,52,4680.0,3.5,1,1,1,1.0,1,0,0,0.8738775510204082,0.6111479591836735,High,High,1,1,S4,Promo-Habituated Spenders,Next Day Air,Paypal,1,1
5,45,Mid-Age (35-49),Male,Clothing,Spring,Oregon,49.0,31,1,49.0,2.7,1,1,1,1.0,1,0,0,0.4496734693877551,0.2919362244897959,Medium,Low,0,0,S0,General Buyers,Free Shipping,Paypal,0,1
6,46,Mid-Age (35-49),Male,Footwear,Summer,Wyoming,20.0,14,52,1040.0,2.9,1,1,1,1.0,1,0,0,0.611591836734694,0.0903265306122449,High,Low,0,0,S2,Promo-Dependent Buyers,Standard,Venmo,0,1
7,63,Senior (50-70),Male,Clothing,Fall,Montana,85.0,49,4,340.0,3.2,1,1,1,1.0,1,0,0,0.6145834333733493,0.5712729591836735,High,Medium,1,1,S4,Promo-Habituated Spenders,Free Shipping,Cash,0,0
8,27,Young Adult (25-34),Male,Clothing,Winter,Louisiana,34.0,19,52,1768.0,3.2,1,1,1,1.0,1,0,0,0.6662040816326531,0.1950867346938775,High,Low,0,0,S2,Promo-Dependent Buyers,Free Shipping,Credit Card,0,1
9,26,Young Adult (25-34),Male,Outerwear,Summer,West Virginia,97.0,8,1,97.0,2.6,1,1,1,1.0,1,0,0,0.3008571428571429,0.3785892857142857,Low,Low,1,0,S4,Promo-Habituated Spenders,Express,Venmo,1,1
10,57,Senior (50-70),Male,Accessories,Spring,Missouri,31.0,4,4,124.0,4.8,1,1,1,1.0,1,1,1,0.4670732292917167,0.2014311224489796,High,Low,0,0,S2,Promo-Dependent Buyers,2-Day Shipping,Cash,1,0
11,53,Senior (50-70),Male,Footwear,Fall,Arkansas,34.0,26,26,884.0,4.1,1,1,1,1.0,1,1,0,0.653610244097639,0.2848010204081632,High,Low,0,0,S0,General Buyers,Store Pickup,Bank Transfer,0,0
12,30,Young Adult (25-34),Male,Clothing,Winter,Hawaii,68.0,10,26,1768.0,4.9,1,1,1,1.0,1,1,1,0.6196510604241697,0.3999183673469388,High,Low,0,0,S0,General Buyers,Store Pickup,Bank Transfer,0,0
13,61,Senior (50-70),Male,Outerwear,Winter,Delaware,72.0,37,26,1872.0,4.5,1,1,1,1.0,1,1,1,0.7529571828731493,0.5311734693877551,High,Medium,0,0,S0,General Buyers,Express,Venmo,1,1
14,65,Senior (50-70),Male,Clothing,Spring,New Hampshire,51.0,31,52,2652.0,4.7,1,1,1,1.0,1,1,1,0.8596734693877551,0.4206862244897959,High,Low,0,0,S0,General Buyers,Express,Paypal,1,1
15,64,Senior (50-70),Male,Outerwear,Winter,New York,53.0,34,52,2756.0,4.7,1,1,1,1.0,1,1,1,0.8780408163265306,0.4447423469387754,High,Medium,0,0,S0,General Buyers,Free Shipping,Debit Card,0,1
16,64,Senior (50-70),Male,Clothing,Winter,Rhode Island,81.0,8,12,972.0,2.8,1,1,1,1.0,1,0,0,0.3707787114845938,0.3205892857142857,Medium,Low,1,0,S4,Promo-Habituated Spenders,Store Pickup,Paypal,0,1
17,25,Young Adult (25-34),Male,Accessories,Spring,Alabama,36.0,44,26,936.0,4.1,1,1,1,1.0,1,1,0,0.7638143257302922,0.3853877551020407,High,Low,0,1,S0,General Buyers,Next Day Air,Debit Card,1,1
